Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
14351,-2.86,0.51,-11.38,19.20,1026.90
14472,-2.75,0.67,-11.69,19.20,1026.90
14592,-3.10,1.02,-10.28,19.20,1026.91
14712,-2.59,0.82,-10.79,19.20,1026.90
14833,-2.71,0.55,-10.40,19.19,1026.90
14954,-3.49,0.94,-9.89,19.20,1026.91
15074,-2.86,0.86,-9.77,19.20,1026.91
15193,-2.98,0.98,-10.63,19.19,1026.91
15314,-2.67,1.45,-10.40,19.19,1026.91
15434,-2.63,1.02,-11.89,19.19,1026.91
15555,-3.26,1.06,-9.81,19.19,1026.91
15675,-3.14,0.63,-11.18,19.19,1026.91
15795,-2.75,0.82,-10.40,19.19,1026.90
15916,-3.02,0.16,-11.57,19.19,1026.90
16037,-2.90,0.75,-10.71,19.19,1026.90
16157,-2.71,0.94,-11.49,19.18,1026.90
16278,-3.02,0.39,-11.22,19.18,1026.90
16399,-2.86,1.14,-10.47,19.18,1026.90
16519,-2.55,0.67,-11.10,19.18,1026.89
16640,-3.02,0.35,-11.57,19.18,1026.89
16760,-2.79,0.55,-10.87,19.18,1026.89
16881,-2.67,0.67,-11.14,19.18,1026.90
17002,-2.67,0.82,-11.77,19.18,1026.90
17122,-2.75,0.75,-10.55,19.18,1026.89
17243,-2.39,1.22,-11.38,19.17,1026.89
17364,-2.90,0.86,-10.20,19.17,1026.89
17484,-2.98,1.41,-8.59,19.17,1026.90
17604,-2.90,0.47,-11.22,19.17,1026.90
17724,-2.75,0.71,-10.04,19.17,1026.90
17845,-2.67,0.82,-10.55,19.17,1026.90
17966,-2.67,0.82,-10.63,19.17,1026.90
18087,-3.18,0.71,-10.00,19.17,1026.90
18207,-3.18,0.75,-10.28,19.17,1026.89
18328,-2.90,0.47,-11.45,19.17,1026.90
18448,-2.86,0.98,-10.79,19.17,1026.90
18569,-1.53,1.61,-11.02,19.17,1026.90
18690,-3.06,0.20,-11.22,19.16,1026.90
18811,-2.90,0.27,-10.59,19.16,1026.89
18931,-3.14,0.27,-10.87,19.16,1026.89
19051,-3.61,0.31,-9.30,19.16,1026.89
19171,-3.06,0.55,-10.28,19.16,1026.89
19292,-2.90,0.47,-10.75,19.16,1026.88
19413,-3.18,0.00,-10.67,19.16,1026.89
19533,-3.10,0.43,-10.87,19.16,1026.88
19653,-2.63,0.78,-11.26,19.16,1026.89
19774,-2.90,1.84,-10.79,19.15,1026.89
19895,-3.33,1.26,-10.32,19.15,1026.89
20016,-2.98,1.02,-10.79,19.15,1026.89
20137,-3.26,1.57,-11.10,19.15,1026.90
20257,-3.14,0.43,-10.71,19.15,1026.90
20377,-2.90,1.73,-10.59,19.15,1026.90
20498,-3.02,1.33,-10.51,19.15,1026.90
20619,-2.82,1.33,-10.59,19.15,1026.90
20740,-2.75,0.75,-11.45,19.15,1026.90
20861,-3.84,0.78,-10.28,19.15,1026.89
20980,-3.10,1.26,-11.06,19.15,1026.89
21101,-3.26,0.82,-10.51,19.14,1026.89
21222,-3.30,1.26,-10.67,19.14,1026.90
21343,-2.94,1.41,-10.71,19.14,1026.89
21464,-2.94,0.82,-10.40,19.14,1026.89
21584,-2.35,2.31,-10.51,19.14,1026.89
21704,-3.14,1.06,-10.12,19.14,1026.90
21825,-3.10,1.84,-10.04,19.14,1026.89
21946,-3.37,1.10,-10.32,19.14,1026.89
22067,-3.37,0.59,-11.30,19.14,1026.89
22188,-2.82,1.02,-10.71,19.14,1026.89
22307,-3.02,1.10,-10.79,19.13,1026.89
22428,-3.26,0.55,-10.47,19.13,1026.90
22549,-2.82,0.75,-10.59,19.13,1026.90
22670,-3.80,0.04,-7.18,19.13,1026.90
22790,-2.67,-0.55,-10.87,19.13,1026.90
22911,-3.26,-0.12,-10.12,19.13,1026.90
23032,-2.20,0.24,-12.32,19.13,1026.90
23153,-3.77,-0.55,-12.08,19.13,1026.90
23275,-3.22,-1.69,-12.43,19.13,1026.89
23397,-3.69,-1.10,-12.04,19.13,1026.90
23519,-1.41,-0.12,-10.00,19.13,1026.90
23640,-2.43,0.00,-11.18,19.12,1026.89
23761,-2.51,-1.06,-10.28,19.12,1026.90
23882,-2.04,-0.27,-11.77,19.12,1026.90
24004,-2.04,-0.98,-10.98,19.12,1026.89
24126,-2.24,-1.02,-10.90,19.12,1026.89
24247,-2.20,-0.98,-10.87,19.12,1026.89
24369,-2.24,-0.98,-10.90,19.12,1026.89
24491,-2.20,-1.06,-10.90,19.12,1026.90
24613,-2.20,-1.02,-10.90,19.12,1026.90
24734,-2.20,-1.02,-10.90,19.12,1026.89
24856,-2.20,-1.06,-10.87,19.12,1026.89
24977,-2.24,-1.02,-10.94,19.12,1026.88
25099,-2.20,-1.02,-10.87,19.12,1026.88
25221,-2.16,-1.06,-10.94,19.12,1026.88
25343,-2.20,-1.06,-10.94,19.12,1026.88
25464,-2.20,-1.02,-10.83,19.12,1026.88
25586,-2.24,-1.06,-10.79,19.12,1026.88
25707,-2.16,-1.06,-10.87,19.12,1026.87
25829,-2.20,-1.06,-10.90,19.12,1026.88
25951,-2.20,-1.02,-10.94,19.12,1026.88
26073,-2.20,-1.02,-10.94,19.12,1026.88
26195,-2.16,-1.06,-10.87,19.12,1026.88
26316,-2.20,-1.06,-10.90,19.12,1026.88
26437,-2.20,-1.02,-10.87,19.12,1026.89
26559,-2.20,-0.98,-10.94,19.12,1026.88
26681,-2.20,-1.10,-10.90,19.12,1026.88
26803,-2.20,-1.02,-10.94,19.12,1026.88
26925,-2.16,-1.02,-10.94,19.12,1026.88
27047,-2.12,-1.06,-10.87,19.12,1026.89
27167,-2.16,-0.98,-10.90,19.12,1026.89
27289,-2.20,-1.10,-10.90,19.12,1026.89
27411,-1.49,-1.57,-8.39,19.12,1026.89
27532,-1.14,-4.35,-12.75,19.12,1026.88
27654,-0.24,-4.79,-11.89,19.12,1026.89
Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
5,1.73,-2.47,-13.49,18.69,1026.88
104,0.59,-3.06,-8.59,18.82,1026.96
204,0.35,-4.47,-9.14,18.84,1026.96
317,1.65,-5.37,-11.77,18.86,1026.95
436,4.39,-5.10,-13.57,18.89,1026.95
555,-1.61,-0.98,-11.57,18.92,1026.94
674,-0.86,-3.77,-9.14,18.94,1026.93
793,-0.51,-5.73,-8.16,18.96,1026.92
911,-1.22,-6.20,-11.34,18.98,1026.91
1031,0.82,-6.35,-8.55,19.00,1026.90
1149,-0.35,-5.53,-7.18,19.01,1026.89
1269,0.59,-7.57,-10.08,19.02,1026.89
1389,-1.22,-7.18,-9.22,19.03,1026.89
1508,-2.98,-4.75,-6.35,19.04,1026.88
1628,2.04,-5.10,-6.63,19.04,1026.89
1746,-3.10,-3.41,-10.20,19.05,1026.88
1867,-3.22,-3.26,-10.20,19.06,1026.87
1988,-3.80,-6.67,-9.34,19.06,1026.87
2107,-4.39,-7.96,-4.08,19.07,1026.87
2227,-4.00,-5.81,-0.35,19.07,1026.86
2346,-3.33,-7.10,-1.10,19.07,1026.86
2466,-3.06,-10.12,-5.10,19.08,1026.86
2587,-3.22,-8.28,-6.32,19.08,1026.86
2706,-2.35,-6.35,-7.88,19.08,1026.86
2826,0.35,-7.65,-11.22,19.08,1026.86
2945,-0.63,-7.34,-9.89,19.08,1026.86
3065,-1.45,-4.63,-10.51,19.08,1026.85
3186,-2.00,-7.45,-11.22,19.08,1026.86
3307,0.31,-4.94,-5.96,19.08,1026.86
3425,0.82,-5.92,-10.83,19.08,1026.86
3544,2.00,-3.73,-9.38,19.08,1026.86
3663,1.61,-5.49,-10.43,19.08,1026.86
3783,1.06,-4.71,-10.20,19.08,1026.86
3902,1.06,-4.55,-10.12,19.09,1026.87
4022,1.18,-4.71,-9.81,19.09,1026.86
4140,-0.27,-4.90,-8.28,19.09,1026.87
4260,-0.39,-6.00,-9.06,19.09,1026.86
4380,0.55,-4.35,-8.90,19.09,1026.86
4498,0.31,-5.18,-9.81,19.09,1026.87
4617,0.67,-4.39,-9.77,19.09,1026.87
4735,0.59,-4.71,-10.28,19.10,1026.87
4855,0.51,-4.67,-9.89,19.10,1026.87
4974,0.67,-4.47,-10.59,19.10,1026.87
