Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
159395,-8.47,-5.02,-4.71,21.49,1026.29
159516,-8.43,-5.06,-4.63,21.49,1026.28
159637,-8.55,-5.14,-4.63,21.49,1026.28
159759,-8.51,-5.06,-4.67,21.49,1026.28
159881,-8.43,-5.06,-4.75,21.49,1026.28
160003,-8.43,-5.02,-4.79,21.49,1026.29
160125,-8.51,-5.02,-4.75,21.49,1026.29
160246,-8.43,-5.06,-4.79,21.49,1026.29
160367,-8.43,-5.02,-4.75,21.49,1026.29
160489,-8.51,-5.02,-4.75,21.49,1026.29
160611,-8.47,-5.02,-4.79,21.49,1026.28
160733,-8.47,-5.06,-4.75,21.49,1026.28
160855,-8.51,-5.06,-4.75,21.49,1026.28
160976,-8.43,-5.06,-4.71,21.49,1026.28
161097,-8.47,-5.02,-4.75,21.49,1026.29
161219,-8.43,-5.06,-4.75,21.49,1026.29
161341,-8.47,-5.10,-4.71,21.49,1026.29
161463,-8.47,-5.06,-4.75,21.49,1026.30
161585,-8.43,-5.06,-4.71,21.49,1026.30
161706,-8.39,-5.10,-4.79,21.49,1026.30
161828,-8.47,-5.06,-4.63,21.49,1026.30
161949,-8.47,-5.02,-4.82,21.49,1026.30
162071,-8.51,-5.02,-4.71,21.49,1026.30
162193,-8.39,-5.18,-4.63,21.49,1026.30
162315,-8.43,-5.14,-4.71,21.49,1026.30
162436,-8.43,-5.10,-4.75,21.49,1026.30
162558,-8.47,-5.06,-4.75,21.49,1026.30
162680,-8.43,-5.06,-4.75,21.49,1026.30
162801,-8.47,-5.06,-4.82,21.49,1026.30
162923,-8.47,-5.02,-4.75,21.49,1026.30
163045,-8.51,-5.02,-4.75,21.49,1026.29
163166,-8.51,-5.02,-4.82,21.49,1026.30
163288,-8.43,-5.02,-4.79,21.49,1026.29
163410,-8.47,-5.06,-4.79,21.49,1026.29
163531,-8.39,-5.06,-4.75,21.49,1026.29
163653,-8.43,-5.06,-4.75,21.49,1026.29
163775,-8.47,-5.06,-4.67,21.49,1026.28
163896,-8.47,-5.02,-4.71,21.49,1026.28
164018,-8.47,-5.06,-4.71,21.49,1026.28
164140,-8.43,-5.06,-4.67,21.49,1026.28
164262,-8.43,-5.02,-4.82,21.49,1026.28
164383,-8.47,-5.02,-4.75,21.49,1026.28
164505,-8.51,-4.98,-4.75,21.49,1026.27
164626,-8.47,-5.02,-4.79,21.49,1026.27
164748,-8.47,-5.06,-4.79,21.49,1026.27
164870,-8.47,-5.02,-4.75,21.49,1026.27
164992,-8.47,-5.02,-4.79,21.49,1026.27
165114,-8.43,-5.06,-4.75,21.49,1026.27
165234,-8.47,-5.10,-4.67,21.49,1026.28
165356,-8.43,-5.06,-4.75,21.49,1026.28
165478,-8.43,-5.06,-4.75,21.49,1026.29
165600,-8.51,-5.02,-4.79,21.49,1026.29
165722,-8.47,-5.02,-4.75,21.49,1026.29
165844,-8.51,-5.02,-4.75,21.49,1026.29
165965,-8.47,-5.02,-4.79,21.49,1026.29
166086,-8.47,-5.02,-4.79,21.49,1026.30
166208,-8.43,-5.02,-4.79,21.49,1026.30
166330,-8.47,-5.06,-4.82,21.49,1026.30
166452,-8.47,-5.02,-4.75,21.49,1026.30
166574,-8.47,-5.02,-4.75,21.49,1026.30
166695,-8.51,-5.02,-4.79,21.49,1026.30
166816,-8.47,-5.06,-4.79,21.49,1026.30
166938,-8.47,-5.06,-4.75,21.49,1026.30
167060,-8.51,-5.02,-4.82,21.49,1026.30
167182,-8.47,-5.02,-4.82,21.49,1026.30
167304,-8.51,-4.98,-4.75,21.49,1026.31
167425,-8.47,-5.02,-4.79,21.49,1026.31
167547,-8.47,-5.02,-4.82,21.49,1026.31
167668,-8.51,-5.02,-4.82,21.49,1026.31
167790,-8.47,-5.02,-4.82,21.49,1026.31
167912,-8.47,-5.02,-4.79,21.49,1026.31
168034,-8.51,-5.02,-4.75,21.49,1026.31
168155,-8.47,-5.06,-4.79,21.49,1026.30
168277,-8.47,-5.02,-4.67,21.49,1026.31
168399,-8.43,-5.02,-4.79,21.50,1026.31
168520,-8.47,-5.02,-4.75,21.50,1026.31
168642,-8.47,-5.06,-4.75,21.50,1026.31
168763,-8.43,-5.02,-4.79,21.50,1026.31
168885,-8.43,-5.02,-4.79,21.50,1026.30
169007,-8.47,-5.06,-4.79,21.50,1026.30
169129,-8.47,-5.02,-4.82,21.50,1026.30
169251,-8.47,-4.98,-4.82,21.49,1026.29
169372,-8.47,-5.02,-4.79,21.49,1026.29
169493,-8.47,-5.06,-4.79,21.49,1026.29
169615,-8.47,-5.02,-4.79,21.49,1026.29
169737,-8.43,-5.06,-4.75,21.49,1026.29
169859,-8.51,-5.02,-4.79,21.50,1026.30
169981,-8.51,-5.02,-4.79,21.50,1026.30
170102,-8.47,-5.02,-4.79,21.50,1026.30
170223,-8.43,-5.02,-4.82,21.50,1026.31
170345,-8.51,-5.06,-4.79,21.50,1026.31
170467,-8.47,-5.06,-4.82,21.50,1026.31
170589,-8.47,-4.98,-4.75,21.50,1026.31
170711,-8.47,-5.02,-4.79,21.50,1026.31
170833,-8.51,-5.02,-4.79,21.50,1026.31
170953,-8.51,-5.02,-4.79,21.50,1026.31
171075,-8.47,-5.02,-4.71,21.50,1026.31
171197,-8.47,-5.06,-4.79,21.50,1026.30
171319,-8.47,-5.02,-4.75,21.50,1026.31
171441,-8.51,-5.02,-4.75,21.50,1026.30
171563,-8.47,-5.02,-4.79,21.50,1026.30
171684,-8.47,-5.02,-4.79,21.50,1026.30
171805,-8.51,-5.02,-4.75,21.50,1026.30
171927,-8.51,-5.02,-4.75,21.50,1026.30
172049,-8.47,-5.06,-4.75,21.50,1026.29
172171,-8.47,-5.02,-4.75,21.50,1026.29
172293,-8.47,-5.02,-4.79,21.50,1026.29
172414,-8.43,-5.06,-4.79,21.50,1026.29
172536,-8.47,-5.06,-4.79,21.50,1026.30
172657,-8.43,-5.06,-4.79,21.50,1026.30
172779,-8.43,-5.02,-4.75,21.50,1026.30
172901,-8.39,-5.06,-4.79,21.50,1026.30
173022,-8.47,-5.02,-4.79,21.50,1026.30
173144,-8.47,-5.06,-4.75,21.50,1026.30
173266,-8.47,-5.06,-4.82,21.50,1026.30
173387,-8.47,-5.02,-4.71,21.50,1026.30
173509,-8.47,-5.02,-4.71,21.50,1026.30
173631,-8.51,-5.06,-4.79,21.50,1026.30
173752,-8.47,-5.02,-4.79,21.50,1026.30
173874,-8.47,-5.06,-4.71,21.50,1026.29
173996,-8.47,-5.06,-4.79,21.50,1026.29
174118,-8.43,-5.06,-4.75,21.50,1026.28
174239,-8.51,-5.02,-4.82,21.50,1026.29
174361,-8.47,-5.02,-4.75,21.50,1026.29
174482,-8.47,-5.02,-4.79,21.50,1026.29
174604,-8.47,-5.02,-4.71,21.50,1026.29
174726,-8.47,-5.02,-4.75,21.50,1026.29
174848,-8.47,-5.02,-4.82,21.50,1026.29
174970,-8.51,-4.98,-4.82,21.50,1026.29
175091,-8.43,-5.02,-4.82,21.50,1026.29
175212,-8.51,-4.98,-4.75,21.50,1026.29
175334,-8.47,-5.02,-4.82,21.50,1026.29
175456,-8.51,-5.02,-4.79,21.50,1026.30
175578,-8.47,-5.02,-4.75,21.50,1026.30
175700,-8.47,-5.06,-4.75,21.50,1026.29
175822,-8.43,-5.06,-4.75,21.50,1026.29
175942,-8.51,-5.02,-4.82,21.50,1026.29
176064,-8.51,-5.02,-4.82,21.50,1026.29
176186,-8.51,-4.98,-4.75,21.50,1026.29
176308,-8.47,-4.98,-4.79,21.50,1026.29
176430,-8.47,-5.06,-4.82,21.50,1026.29
176552,-8.51,-4.98,-4.75,21.50,1026.29
176672,-8.47,-5.02,-4.75,21.50,1026.29
176794,-8.51,-5.02,-4.79,21.50,1026.29
176916,-8.47,-5.02,-4.82,21.50,1026.29
177038,-8.43,-5.02,-4.82,21.50,1026.29
177160,-8.47,-5.02,-4.79,21.50,1026.29
177281,-8.51,-5.02,-4.82,21.50,1026.29
177403,-8.47,-5.02,-4.79,21.50,1026.30
177524,-8.47,-5.02,-4.82,21.50,1026.30
177646,-8.47,-5.02,-4.79,21.50,1026.30
177768,-8.51,-5.02,-4.75,21.50,1026.30
177890,-8.47,-5.02,-4.75,21.50,1026.30
178011,-8.47,-5.02,-4.79,21.50,1026.30
178133,-8.47,-5.02,-4.79,21.50,1026.30
178255,-8.51,-5.02,-4.79,21.50,1026.30
178376,-8.47,-5.02,-4.79,21.50,1026.30
178498,-8.51,-5.02,-4.75,21.50,1026.29
178620,-8.51,-5.02,-4.82,21.50,1026.29
178741,-8.47,-5.02,-4.75,21.50,1026.29
178863,-8.47,-5.02,-4.75,21.50,1026.29
178985,-8.47,-5.02,-4.75,21.50,1026.29
179107,-8.47,-5.02,-4.82,21.50,1026.29
179228,-8.47,-5.02,-4.75,21.50,1026.29
179350,-8.47,-5.02,-4.75,21.50,1026.29
179471,-8.47,-4.98,-4.75,21.50,1026.29
179593,-8.43,-5.02,-4.75,21.50,1026.30
179715,-8.47,-4.98,-4.71,21.50,1026.29
179837,-8.43,-5.02,-4.82,21.50,1026.29
179958,-8.51,-5.02,-4.79,21.50,1026.29
180080,-8.47,-5.02,-4.82,21.50,1026.29
180201,-8.47,-5.02,-4.82,21.50,1026.29
180323,-8.51,-5.02,-4.79,21.50,1026.29
180445,-8.43,-5.02,-4.79,21.50,1026.29
180567,-8.47,-5.02,-4.79,21.50,1026.29
180689,-8.43,-5.02,-4.79,21.50,1026.29
180809,-8.47,-5.02,-4.75,21.50,1026.29
180931,-8.51,-5.02,-4.75,21.50,1026.29
181053,-8.47,-5.06,-4.71,21.50,1026.29
181175,-8.51,-5.02,-4.79,21.50,1026.30
181297,-8.47,-5.02,-4.79,21.50,1026.30
181419,-8.47,-5.02,-4.79,21.50,1026.30
181540,-8.47,-5.02,-4.79,21.50,1026.29
181661,-8.47,-5.02,-4.79,21.50,1026.29
181783,-8.47,-5.06,-4.75,21.50,1026.29
181905,-8.51,-5.06,-4.79,21.50,1026.29
182027,-8.47,-5.02,-4.79,21.50,1026.29
182149,-8.47,-5.06,-4.82,21.50,1026.28
182270,-8.51,-5.02,-4.71,21.50,1026.29
182392,-8.51,-5.06,-4.79,21.50,1026.29
182513,-8.43,-5.02,-4.75,21.50,1026.29
182635,-8.43,-5.10,-4.75,21.50,1026.30
182757,-8.47,-5.02,-4.82,21.50,1026.30
182879,-8.47,-5.06,-4.79,21.50,1026.30
183000,-8.43,-5.06,-4.75,21.50,1026.30
183122,-8.47,-5.06,-4.82,21.50,1026.30
183243,-8.47,-5.02,-4.79,21.50,1026.30
183365,-8.47,-5.02,-4.79,21.50,1026.30
183487,-8.47,-5.06,-4.79,21.50,1026.29
183609,-8.47,-4.98,-4.82,21.50,1026.28
183730,-8.47,-5.02,-4.75,21.50,1026.28
183852,-8.47,-5.02,-4.86,21.50,1026.28
183974,-8.47,-5.02,-4.75,21.50,1026.28
184095,-8.47,-5.02,-4.79,21.50,1026.28
184217,-8.43,-5.06,-4.75,21.51,1026.29
184338,-8.47,-4.98,-4.75,21.51,1026.29
184460,-8.43,-5.02,-4.79,21.51,1026.29
184582,-8.47,-5.02,-4.71,21.51,1026.29
184704,-8.51,-5.02,-4.71,21.51,1026.29
184826,-8.43,-5.06,-4.79,21.51,1026.29
184947,-8.47,-5.02,-4.71,21.51,1026.29
185068,-8.47,-5.02,-4.82,21.50,1026.29
185190,-8.47,-5.02,-4.75,21.51,1026.29
185312,-8.51,-5.02,-4.79,21.51,1026.29
185434,-8.47,-5.02,-4.79,21.51,1026.30
185556,-8.51,-5.02,-4.75,21.51,1026.29
185678,-8.51,-4.98,-4.75,21.51,1026.29
185798,-8.47,-5.02,-4.75,21.51,1026.29
185920,-8.47,-5.02,-4.79,21.50,1026.29
186042,-8.43,-5.02,-4.79,21.50,1026.29
186164,-8.47,-5.02,-4.79,21.50,1026.29
186286,-8.47,-5.02,-4.82,21.50,1026.29
186408,-8.47,-5.02,-4.75,21.51,1026.29
186528,-8.47,-5.02,-4.79,21.51,1026.29
186650,-8.55,-4.98,-4.79,21.51,1026.29
186772,-8.51,-5.02,-4.79,21.51,1026.29
186894,-8.47,-5.02,-4.79,21.50,1026.29
187016,-8.47,-4.98,-4.82,21.51,1026.29
187138,-8.47,-5.02,-4.79,21.51,1026.29
187259,-8.43,-5.02,-4.79,21.51,1026.29
187380,-8.47,-5.02,-4.75,21.51,1026.29
187502,-8.47,-5.02,-4.79,21.51,1026.29
187624,-8.47,-5.06,-4.75,21.51,1026.30
187746,-8.47,-5.02,-4.75,21.51,1026.30
187868,-8.47,-5.06,-4.75,21.51,1026.30
187989,-8.51,-5.02,-4.75,21.51,1026.30
188111,-8.47,-4.98,-4.82,21.51,1026.30
188232,-8.47,-5.02,-4.79,21.51,1026.30
188354,-8.51,-5.02,-4.79,21.51,1026.30
188476,-8.47,-5.02,-4.75,21.51,1026.30
188597,-8.47,-5.02,-4.75,21.51,1026.30
188719,-8.43,-5.02,-4.75,21.51,1026.29
188841,-8.47,-5.02,-4.75,21.51,1026.29
188963,-8.43,-4.98,-4.79,21.51,1026.29
189084,-8.51,-5.02,-4.71,21.51,1026.29
189206,-8.43,-5.02,-4.75,21.51,1026.29
189327,-8.51,-5.02,-4.71,21.51,1026.29
189449,-8.47,-5.02,-4.79,21.51,1026.29
189571,-8.43,-5.06,-4.71,21.51,1026.29
189693,-8.51,-5.06,-4.79,21.51,1026.29
189814,-8.47,-5.06,-4.79,21.51,1026.28
189936,-8.43,-5.10,-4.82,21.51,1026.28
190057,-8.43,-5.02,-4.71,21.51,1026.27
190179,-8.43,-5.14,-4.79,21.51,1026.27
190301,-8.39,-5.18,-4.63,21.51,1026.27
190423,-8.47,-5.10,-4.59,21.51,1026.27
190545,-8.43,-5.10,-4.63,21.51,1026.27
190666,-8.43,-5.18,-4.63,21.51,1026.27
190787,-8.36,-5.14,-4.63,21.51,1026.26
190909,-8.43,-5.14,-4.67,21.51,1026.26
191031,-8.47,-5.10,-4.67,21.51,1026.26
191153,-8.43,-5.10,-4.82,21.51,1026.26
191275,-8.51,-5.02,-4.75,21.51,1026.26
191397,-8.47,-5.06,-4.75,21.51,1026.26
191517,-8.43,-5.06,-4.75,21.51,1026.26
191639,-8.47,-5.02,-4.75,21.51,1026.26
191761,-8.43,-5.02,-4.79,21.51,1026.27
191883,-8.43,-5.10,-4.75,21.51,1026.27
192005,-8.47,-5.10,-4.75,21.51,1026.28
192126,-8.43,-5.10,-4.79,21.51,1026.28
192248,-8.47,-5.10,-4.71,21.51,1026.28
192369,-8.43,-5.06,-4.71,21.51,1026.28
192491,-8.43,-5.06,-4.71,21.51,1026.28
192613,-8.39,-5.10,-4.75,21.51,1026.28
192735,-8.43,-5.10,-4.82,21.51,1026.28
192856,-8.43,-5.06,-4.79,21.51,1026.27
192978,-8.47,-5.06,-4.79,21.51,1026.27
193099,-8.43,-5.06,-4.75,21.51,1026.27
193221,-8.39,-5.10,-4.71,21.51,1026.27
193343,-8.43,-5.10,-4.75,21.51,1026.27
193465,-8.47,-5.06,-4.79,21.51,1026.27
193586,-8.43,-5.10,-4.75,21.51,1026.27
193708,-8.43,-5.10,-4.75,21.51,1026.27
193830,-8.43,-5.06,-4.67,21.51,1026.27
193951,-8.43,-5.06,-4.75,21.51,1026.27
194073,-8.43,-5.06,-4.71,21.51,1026.26
194195,-8.47,-5.06,-4.79,21.51,1026.26
194316,-8.47,-5.06,-4.79,21.51,1026.26
194438,-8.43,-5.10,-4.75,21.51,1026.26
194560,-8.47,-5.06,-4.71,21.51,1026.26
194682,-8.43,-5.06,-4.79,21.51,1026.27
194803,-8.43,-5.10,-4.71,21.51,1026.27
194925,-8.43,-5.10,-4.63,21.51,1026.27
195046,-8.47,-5.06,-4.79,21.51,1026.27
195168,-8.43,-5.06,-4.67,21.51,1026.28
195290,-8.47,-5.06,-4.75,21.51,1026.28
195412,-8.43,-5.10,-4.71,21.51,1026.29
195534,-8.43,-5.06,-4.71,21.51,1026.29
195655,-8.43,-5.06,-4.71,21.52,1026.30
195776,-8.43,-5.10,-4.75,21.51,1026.29
195898,-8.43,-5.06,-4.79,21.51,1026.29
196020,-8.43,-5.06,-4.71,21.51,1026.29
196142,-8.39,-5.06,-4.71,21.51,1026.29
196264,-8.43,-5.10,-4.71,21.52,1026.29
196384,-8.39,-5.06,-4.71,21.52,1026.29
196506,-8.51,-5.06,-4.71,21.52,1026.29
196628,-8.47,-5.06,-4.75,21.52,1026.30
196750,-8.43,-5.10,-4.67,21.52,1026.29
196872,-8.43,-5.06,-4.71,21.52,1026.28
196994,-8.39,-5.10,-4.75,21.52,1026.28
197115,-8.43,-5.06,-4.75,21.52,1026.27
197236,-8.43,-5.06,-4.75,21.52,1026.27
197358,-8.47,-5.06,-4.75,21.52,1026.28
197480,-8.43,-5.10,-4.75,21.52,1026.28
197602,-8.43,-5.10,-4.75,21.52,1026.28
197724,-8.43,-5.10,-4.75,21.52,1026.28
197845,-8.51,-5.06,-4.79,21.52,1026.28
197967,-8.47,-5.10,-4.75,21.52,1026.28
198088,-8.43,-5.06,-4.71,21.52,1026.28
198210,-8.43,-5.06,-4.75,21.52,1026.27
198332,-8.39,-5.06,-4.75,21.52,1026.27
198454,-8.47,-5.06,-4.71,21.52,1026.26
198575,-8.43,-5.06,-4.71,21.52,1026.26
198697,-8.47,-5.06,-4.71,21.52,1026.27
198819,-8.47,-5.06,-4.75,21.52,1026.26
198940,-8.47,-5.10,-4.75,21.52,1026.26
199062,-8.43,-5.02,-4.75,21.52,1026.26
199184,-8.47,-5.06,-4.75,21.52,1026.26
199305,-8.47,-5.06,-4.71,21.52,1026.26
199427,-8.39,-5.06,-4.75,21.52,1026.26
199549,-8.47,-5.10,-4.79,21.52,1026.26
199670,-8.43,-5.06,-4.75,21.52,1026.26
199792,-8.47,-5.06,-4.67,21.52,1026.26
199914,-8.43,-5.10,-4.75,21.52,1026.26
200035,-8.43,-5.10,-4.79,21.52,1026.26
200157,-8.47,-5.06,-4.71,21.52,1026.25
200279,-8.43,-5.02,-4.71,21.52,1026.25
200401,-8.43,-5.10,-4.71,21.52,1026.25
200522,-8.39,-5.10,-4.75,21.52,1026.25
200643,-8.43,-5.06,-4.79,21.52,1026.25
200765,-8.43,-5.06,-4.71,21.52,1026.25
200887,-8.47,-5.06,-4.71,21.52,1026.25
201009,-8.43,-5.06,-4.75,21.52,1026.25
201131,-8.47,-5.02,-4.67,21.52,1026.25
201253,-8.43,-5.06,-4.75,21.52,1026.25
201373,-8.43,-5.06,-4.67,21.52,1026.25
201495,-8.43,-5.06,-4.71,21.52,1026.24
201617,-8.43,-5.10,-4.71,21.52,1026.24
201739,-8.47,-5.06,-4.71,21.52,1026.24
201861,-8.43,-5.06,-4.75,21.52,1026.25
201983,-8.39,-5.06,-4.71,21.52,1026.25
202104,-8.43,-5.06,-4.79,21.52,1026.25
202225,-8.43,-5.10,-4.75,21.52,1026.25
202347,-8.43,-5.06,-4.75,21.52,1026.25
202469,-8.43,-5.06,-4.71,21.52,1026.26
202591,-8.47,-5.06,-4.71,21.52,1026.26
202713,-8.43,-5.10,-4.75,21.52,1026.26
202834,-8.39,-5.06,-4.75,21.52,1026.26
202955,-8.43,-5.06,-4.75,21.52,1026.26
203077,-8.47,-5.10,-4.71,21.52,1026.26
203199,-8.43,-5.06,-4.79,21.52,1026.26
203321,-8.43,-5.06,-4.75,21.52,1026.26
203443,-8.47,-5.02,-4.75,21.52,1026.26
203564,-8.47,-5.06,-4.71,21.52,1026.26
203686,-8.47,-5.06,-4.79,21.52,1026.26
203807,-8.43,-5.06,-4.75,21.52,1026.26
203929,-8.43,-5.06,-4.75,21.52,1026.26
204051,-8.47,-5.06,-4.71,21.52,1026.25
204172,-8.47,-5.06,-4.75,21.52,1026.25
204294,-8.47,-5.10,-4.79,21.52,1026.25
204416,-8.43,-5.10,-4.75,21.52,1026.25
204538,-8.43,-5.06,-4.75,21.52,1026.25
204659,-8.43,-5.10,-4.75,21.52,1026.25
204781,-8.43,-5.06,-4.67,21.52,1026.26
204902,-8.43,-5.06,-4.75,21.52,1026.25
205024,-8.47,-5.02,-4.71,21.52,1026.25
205146,-8.43,-5.06,-4.71,21.52,1026.25
205268,-8.43,-5.10,-4.71,21.52,1026.25
205390,-8.43,-5.02,-4.79,21.52,1026.25
205511,-8.43,-5.06,-4.75,21.52,1026.25
205632,-8.47,-5.06,-4.79,21.52,1026.25
205754,-8.47,-5.06,-4.67,21.52,1026.25
205876,-8.43,-5.10,-4.75,21.52,1026.24
205998,-8.47,-5.06,-4.71,21.52,1026.24
206120,-8.51,-5.06,-4.75,21.52,1026.24
206242,-8.47,-5.06,-4.79,21.52,1026.24
206362,-8.39,-5.10,-4.79,21.52,1026.23
206484,-8.43,-5.06,-4.75,21.52,1026.23
206606,-8.43,-5.10,-4.79,21.52,1026.23
206728,-8.43,-5.06,-4.79,21.52,1026.23
206850,-8.47,-5.06,-4.71,21.52,1026.23
206972,-8.39,-5.06,-4.75,21.52,1026.24
207092,-8.43,-5.10,-4.71,21.52,1026.24
207214,-8.43,-5.10,-4.71,21.52,1026.24
207336,-8.43,-5.10,-4.75,21.52,1026.24
207458,-8.47,-5.02,-4.75,21.52,1026.24
207580,-8.43,-5.06,-4.67,21.52,1026.24
207702,-8.47,-5.06,-4.71,21.52,1026.24
207823,-8.43,-5.06,-4.71,21.52,1026.23
207944,-8.47,-5.10,-4.79,21.52,1026.23
208066,-8.47,-5.06,-4.71,21.52,1026.24
208188,-8.47,-5.06,-4.75,21.52,1026.23
208310,-8.39,-5.02,-4.75,21.52,1026.23
208431,-8.47,-5.06,-4.75,21.52,1026.23
208553,-8.43,-5.06,-4.71,21.52,1026.23
208675,-8.51,-5.02,-4.75,21.52,1026.23
208796,-8.47,-5.02,-4.75,21.52,1026.24
208918,-8.51,-5.02,-4.75,21.52,1026.24
209040,-8.43,-5.06,-4.71,21.52,1026.25
209161,-8.43,-5.06,-4.75,21.52,1026.25
209283,-8.39,-5.06,-4.79,21.52,1026.25
209405,-8.43,-5.06,-4.75,21.52,1026.25
209526,-8.47,-5.02,-4.75,21.52,1026.25
209648,-8.43,-5.06,-4.75,21.52,1026.26
209770,-8.51,-5.06,-4.67,21.52,1026.25
209891,-8.47,-5.06,-4.82,21.53,1026.26
210013,-8.47,-5.02,-4.82,21.53,1026.25
210135,-8.43,-5.06,-4.71,21.53,1026.26
210257,-8.43,-5.06,-4.75,21.53,1026.26
210378,-8.47,-5.02,-4.79,21.53,1026.26
210500,-8.47,-5.06,-4.79,21.53,1026.26
210621,-8.43,-5.06,-4.67,21.53,1026.26
210743,-8.43,-5.10,-4.67,21.53,1026.27
210865,-8.47,-5.06,-4.75,21.53,1026.26
210987,-8.47,-5.06,-4.71,21.53,1026.26
211109,-8.43,-5.06,-4.75,21.53,1026.26
211230,-8.43,-5.06,-4.75,21.53,1026.26
211351,-8.43,-5.06,-4.75,21.53,1026.26
211473,-8.47,-5.06,-4.79,21.53,1026.26
211595,-8.43,-5.06,-4.75,21.53,1026.26
211717,-8.47,-5.02,-4.67,21.53,1026.26
211839,-8.43,-5.06,-4.75,21.53,1026.26
211960,-8.47,-5.02,-4.71,21.53,1026.25
212081,-8.43,-5.06,-4.79,21.52,1026.25
212203,-8.47,-5.06,-4.75,21.52,1026.25
212325,-8.51,-5.02,-4.75,21.53,1026.25
212447,-8.47,-5.02,-4.79,21.52,1026.24
212569,-8.43,-5.06,-4.75,21.53,1026.24
212690,-8.36,-5.10,-4.75,21.53,1026.24
212811,-8.47,-5.06,-4.79,21.53,1026.24
212933,-8.43,-5.06,-4.75,21.53,1026.24
213055,-8.47,-5.06,-4.75,21.53,1026.24
213177,-8.43,-5.02,-4.79,21.53,1026.25
213299,-8.43,-5.06,-4.75,21.53,1026.25
213420,-8.43,-5.02,-4.75,21.53,1026.25
213542,-8.39,-5.10,-4.75,21.53,1026.26
213663,-8.47,-5.06,-4.71,21.53,1026.26
213785,-8.47,-5.02,-4.79,21.53,1026.26
213907,-8.47,-5.10,-4.75,21.53,1026.26
214029,-8.43,-5.02,-4.71,21.53,1026.25
214150,-8.43,-5.06,-4.71,21.53,1026.26
214272,-8.43,-5.10,-4.75,21.53,1026.25
214394,-8.43,-5.06,-4.71,21.53,1026.25
214515,-8.43,-5.10,-4.75,21.53,1026.25
214637,-8.47,-5.06,-4.71,21.53,1026.25
214759,-8.47,-5.06,-4.75,21.53,1026.25
214880,-8.43,-5.06,-4.75,21.53,1026.25
215002,-8.47,-5.06,-4.75,21.53,1026.25
215124,-8.39,-5.10,-4.79,21.53,1026.25
215246,-8.47,-5.02,-4.75,21.53,1026.25
215367,-8.47,-5.06,-4.79,21.53,1026.25
215489,-8.47,-5.06,-4.71,21.53,1026.25
215610,-8.43,-5.06,-4.75,21.53,1026.25
215732,-8.43,-5.02,-4.79,21.53,1026.25
215854,-8.43,-5.06,-4.71,21.53,1026.25
215976,-8.47,-5.06,-4.75,21.53,1026.25
216098,-8.43,-5.06,-4.71,21.53,1026.25
216218,-8.43,-5.10,-4.75,21.53,1026.25
216340,-8.43,-5.06,-4.71,21.53,1026.25
216462,-8.43,-5.06,-4.79,21.53,1026.25
216584,-8.43,-5.06,-4.75,21.53,1026.25
216706,-8.36,-5.06,-4.71,21.53,1026.25
216828,-8.47,-5.02,-4.75,21.53,1026.25
216948,-8.43,-5.06,-4.79,21.53,1026.25
217070,-8.43,-5.02,-4.75,21.53,1026.24
217192,-8.47,-5.02,-4.82,21.53,1026.24
217314,-8.47,-5.02,-4.75,21.53,1026.24
217436,-8.43,-5.10,-4.75,21.53,1026.24
217558,-8.43,-5.06,-4.82,21.53,1026.24
217679,-8.47,-5.06,-4.75,21.53,1026.24
217800,-8.43,-5.02,-4.75,21.53,1026.24
217922,-8.43,-5.06,-4.79,21.53,1026.24
218044,-8.47,-5.06,-4.75,21.53,1026.24
218166,-8.43,-5.06,-4.71,21.53,1026.23
218288,-8.43,-5.02,-4.75,21.53,1026.23
218409,-8.43,-5.02,-4.75,21.53,1026.23
218531,-8.39,-5.10,-4.75,21.53,1026.23
218652,-8.43,-5.06,-4.75,21.53,1026.23
218774,-8.39,-5.06,-4.79,21.53,1026.23
218896,-8.47,-5.06,-4.75,21.53,1026.24
219018,-8.43,-5.02,-4.71,21.53,1026.24
219139,-8.47,-5.02,-4.75,21.53,1026.24
219261,-8.51,-5.06,-4.79,21.53,1026.24
219382,-8.43,-5.06,-4.75,21.53,1026.24
219504,-8.47,-5.06,-4.75,21.53,1026.24
219626,-8.47,-5.06,-4.67,21.53,1026.24
219747,-8.47,-5.06,-4.79,21.53,1026.24
219869,-8.47,-5.06,-4.71,21.53,1026.24
219991,-8.43,-5.06,-4.67,21.53,1026.24
220113,-8.39,-5.06,-4.71,21.53,1026.24
220234,-8.43,-5.06,-4.75,21.53,1026.23
220356,-8.47,-5.06,-4.75,21.53,1026.23
220477,-8.51,-5.06,-4.75,21.53,1026.23
220599,-8.43,-5.06,-4.79,21.53,1026.24
220721,-8.47,-5.06,-4.79,21.53,1026.24
220843,-8.47,-5.06,-4.75,21.53,1026.23
220965,-8.47,-5.06,-4.82,21.53,1026.24
221086,-8.43,-5.06,-4.75,21.53,1026.24
221207,-8.51,-5.02,-4.75,21.53,1026.24
221329,-8.43,-5.06,-4.75,21.53,1026.24
221451,-8.43,-5.06,-4.71,21.53,1026.24
221573,-8.47,-5.02,-4.75,21.53,1026.24
221695,-8.47,-5.06,-4.75,21.53,1026.24
221817,-8.43,-5.06,-4.75,21.53,1026.25
221937,-8.43,-5.02,-4.75,21.53,1026.26
222059,-8.47,-5.06,-4.71,21.53,1026.26
